date,cash,mtm_value,gross_value,net_value,n_positions,d013_baseline_net_value,d013_kr_short_rate_sleeve_net_value,kr_short_rate_sleeve_factor
2024-04-08,0.0,1.8376964202153376,1.8376964202153376,1.8376964202153376,5,1.4605072680736755,1.8376964202153376,1.258259003831698
2024-04-09,0.0,1.8263560745424816,1.8263560745424816,1.8263560745424816,5,1.4514945404569273,1.8263560745424816,1.258259003831698
2024-04-11,0.0,1.8616385302545262,1.8616385302545262,1.8616385302545262,5,1.4795352344671437,1.8616385302545262,1.258259003831698
2024-04-12,0.0,1.8427076106695437,1.8427076106695437,1.8427076106695437,5,1.4644899063372967,1.8427076106695437,1.258259003831698
2024-04-15,0.0,1.8458942448581397,1.8458942448581397,1.8458942448581397,5,1.4670224804566885,1.8458942448581397,1.258259003831698
2024-04-16,0.0,1.808162196151703,1.808162196151703,1.808162196151703,5,1.4370349750293212,1.808162196151703,1.258259003831698
2024-04-17,0.0,1.7833819804798716,1.7833819804798716,1.7833819804798716,5,1.417340925079057,1.7833819804798716,1.258259003831698
2024-04-18,0.0,1.8079876374964847,1.8079876374964847,1.8079876374964847,5,1.4368962447244424,1.8079876374964847,1.258259003831698
2024-04-19,0.0,1.7736344914373559,1.7736344914373559,1.7736344914373559,5,1.409594118568766,1.7736344914373559,1.258259003831698
2024-04-22,0.0,1.799722426491895,1.799722426491895,1.799722426491895,5,1.4303274771023389,1.799722426491895,1.258259003831698
2024-04-23,0.0,1.7899535387696928,1.7899535387696928,1.7899535387696928,5,1.4225636640142119,1.7899535387696928,1.258259003831698
2024-04-24,0.0,1.840297047047355,1.840297047047355,1.840297047047355,5,1.4625741134720376,1.840297047047355,1.258259003831698
2024-04-25,0.0,1.7910027271630309,1.7910027271630309,1.7910027271630309,5,1.4233975053697223,1.7910027271630309,1.258259003831698
2024-04-26,0.0,1.8015678925469638,1.8015678925469638,1.8015678925469638,5,1.4317941592794177,1.8015678925469638,1.258259003831698
2024-04-29,0.0,1.809349885425257,1.809349885425257,1.809349885425257,5,1.4379788898115222,1.809349885425257,1.258259003831698
2024-04-30,0.0,1.821418953432898,1.821418953432898,1.821418953432898,5,1.4475707687258694,1.821418953432898,1.258259003831698
2024-05-02,0.0,1.8165905763991361,1.8165905763991361,1.8165905763991361,5,1.443733421232978,1.8165905763991361,1.258259003831698
2024-05-03,0.0,1.801340406102193,1.801340406102193,1.801340406102193,5,1.4316133646702967,1.801340406102193,1.258259003831698
2024-05-07,0.0,1.8393009008641101,1.8393009008641101,1.8393009008641101,5,1.461782427356372,1.8393009008641101,1.258259003831698
2024-05-08,0.0,1.8401928811431552,1.8401928811431552,1.8401928811431552,5,1.4624913277308804,1.8401928811431552,1.258259003831698
2024-05-09,0.0,1.8109932038196181,1.8109932038196181,1.8109932038196181,5,1.4392849153510627,1.8109932038196181,1.258259003831698
2024-05-10,0.0,1.822910380905064,1.822910380905064,1.822910380905064,5,1.4487560791171517,1.822910380905064,1.258259003831698
2024-05-13,0.0,1.828142661793564,1.828142661793564,1.828142661793564,5,1.4529144287673958,1.828142661793564,1.258259003831698
2024-05-14,0.0,1.836910236744733,1.836910236744733,1.836910236744733,5,1.459882449599728,1.836910236744733,1.258259003831698
2024-05-16,0.0,1.8503181925274448,1.8503181925274448,1.8503181925274448,5,1.4705384081439399,1.8503181925274448,1.258259003831698
2024-05-17,0.0,1.8327125821252301,1.8327125821252301,1.8327125821252301,5,1.4565463680722206,1.8327125821252301,1.258259003831698
2024-05-20,0.0,1.8468626939029231,1.8468626939029231,1.8468626939029231,5,1.467792154301131,1.8468626939029231,1.258259003831698
2024-05-21,0.0,1.8403502280393271,1.8403502280393271,1.8403502280393271,5,1.4626163790086324,1.8403502280393271,1.258259003831698
2024-05-22,0.0,1.8855456000062332,1.8855456000062332,1.8855456000062332,5,1.4985353526295446,1.8855456000062332,1.258259003831698
2024-05-23,0.0,1.8790876954191222,1.8790876954191222,1.8790876954191222,5,1.4934029398532838,1.8790876954191222,1.258259003831698
2024-05-24,0.0,1.8448243778973001,1.8448243778973001,1.8448243778973001,5,1.4661722048317325,1.8448243778973001,1.258259003831698
2024-05-27,0.0,1.8632358286425053,1.8632358286425053,1.8632358286425053,5,1.4808046856557424,1.8632358286425053,1.258259003831698
2024-05-28,0.0,1.8574965416068265,1.8574965416068265,1.8574965416068265,5,1.4762433934112988,1.8574965416068265,1.258259003831698
2024-05-29,0.0,1.8150879470199188,1.8150879470199188,1.8150879470199188,5,1.4425392081380257,1.8150879470199188,1.258259003831698
2024-05-30,0.0,1.776251380902246,1.776251380902246,1.776251380902246,5,1.411673888677242,1.776251380902246,1.258259003831698
2024-05-31,0.0,1.7587315988654373,1.7587315988654373,1.7587315988654373,5,1.3977500606073003,1.7587315988654373,1.258259003831698
2024-06-03,0.0,1.8086838424843816,1.8086838424843816,1.8086838424843816,5,1.4374495528953173,1.8086838424843816,1.258259003831698
2024-06-04,0.0,1.800232682051891,1.800232682051891,1.800232682051891,5,1.430733002163906,1.800232682051891,1.258259003831698
2024-06-05,0.0,1.8358992812963866,1.8358992812963866,1.8358992812963866,5,1.459078993836433,1.8358992812963866,1.258259003831698
2024-06-07,0.0,1.8675122621980658,1.8675122621980658,1.8675122621980658,5,1.4842033766585787,1.8675122621980658,1.258259003831698
2024-06-10,0.0,1.8532909238360749,1.8532909238360749,1.8532909238360749,5,1.4729009831778377,1.8532909238360749,1.258259003831698
2024-06-11,0.0,1.870804374674255,1.870804374674255,1.870804374674255,5,1.4868197795344287,1.870804374674255,1.258259003831698
2024-06-12,0.0,1.876262764392749,1.876262764392749,1.876262764392749,5,1.4911578289359204,1.876262764392749,1.258259003831698
2024-06-13,0.0,1.9065160530908432,1.9065160530908432,1.9065160530908432,5,1.5152015978308504,1.9065160530908432,1.258259003831698
2024-06-14,0.0,1.8945530483692483,1.8945530483692483,1.8945530483692483,5,1.505694012599857,1.8945530483692483,1.258259003831698
2024-06-17,0.0,1.8961992742746128,1.8961992742746128,1.8961992742746128,5,1.5070023488806634,1.8961992742746128,1.258259003831698
2024-06-18,0.0,1.9307922826322914,1.9307922826322914,1.9307922826322914,5,1.5344951053420397,1.9307922826322914,1.258259003831698
2024-06-19,0.0,1.9588183743390577,1.9588183743390577,1.9588183743390577,5,1.5567688118058283,1.9588183743390577,1.258259003831698
2024-06-20,0.0,1.9606542599347703,1.9606542599347703,1.9606542599347703,5,1.5582278799230616,1.9606542599347703,1.258259003831698
2024-06-21,0.0,1.93229472579159,1.93229472579159,1.93229472579159,5,1.5356891704389102,1.93229472579159,1.258259003831698
2024-06-24,0.0,1.905344665964272,1.905344665964272,1.905344665964272,5,1.5142706391625604,1.905344665964272,1.258259003831698
2024-06-25,0.0,1.924023139716101,1.924023139716101,1.924023139716101,5,1.5291153362360155,1.924023139716101,1.258259003831698
